1204,Canada,204,MB,Manitoba,,,,Friendly Manitoba. One of the original 1947 codes.
1226,Canada,226,ON,Southwest Ontario,,,,Overlay for 519 (London/Windsor).
1236,Canada,236,BC,British Columbia,,,,Province-wide overlay for BC.
1249,Canada,249,ON,Northern Ontario,,,,Overlay for 705 (Sudbury/Muskoka).
1250,Canada,250,BC,BC Interior / Island,,,, Kelowna. Everything outside Vancouver Metro.
1289,Canada,289,ON,GTA Suburbs,,,,Overlay for 905 (Toronto Suburbs).
1306,Canada,306,SK,Saskatchewan,,,,Rider Nation. The original Saskatchewan code.
1343,Canada,343,ON,Ottawa / East ON,,,,Overlay for 613 (National Capital Region).
1365,Canada,365,ON,GTA Suburbs,,,,Newer overlay for the 905 belt.
1403,Canada,403,AB,Southern Alberta,Calgary,,," Banff. The ""Cowtown"" code."
1416,Canada,416,ON,Toronto (Core),,,,The 6ix. Drake made this code famous. Strictly downtown status.
1418,Canada,418,QC,Eastern Quebec,Quebec City,,, Saguenay. Francophone heartland.
1431,Canada,431,MB,Manitoba,,,,Newer overlay for Winnipeg/Manitoba.
1437,Canada,437,ON,Toronto (Core),,,,The newest overlay for downtown Toronto.
1438,Canada,438,QC,Montreal,,,,Newer overlay for Montreal Island.
1450,Canada,450,QC,Montreal Suburbs,Laval,,, Longueuil. The commuter belt code.
1506,Canada,506,NB,New Brunswick,,,,The only officially bilingual province.
1514,Canada,514,QC,Montreal (Island),,,,"The ""212"" of Quebec. Historic urban and culturally significant"
1519,Canada,519,ON,Southwest Ontario,Waterloo,,," The ""Tech Triangle"" (Blackberry birthplace)."
1548,Canada,548,ON,Southwest Ontario,,,,Newer overlay for 519.
1579,Canada,579,QC,Montreal Suburbs,,,,Newer overlay for 450.
1581,Canada,581,QC,Eastern Quebec,,,,Newer overlay for Quebec City.
1587,Canada,587,AB,Alberta,,,,Province-wide overlay (created during the oil boom).
1604,Canada,604,BC,Vancouver (Metro),,,,"The original BC code. ""The 604"" lifestyle brand."
1613,Canada,613,ON,Eastern Ontario,Ottawa,,, Kingston. The Political Capital code.
1639,Canada,639,SK,Saskatchewan,,,,Newer overlay for Saskatchewan.
1647,Canada,647,ON,Toronto (Metro),,,,"The first overlay for Toronto (2001). Very common  but not ""OG"" like 416."
1672,Canada,672,BC,British Columbia,,,,Future/New overlay.
1705,Canada,705,ON,Northern Ontario,,,,Cottage Country. Synonymous with summer vacations by the lake.
1709,Canada,709,NL,Newfoundland & Labrador,,,,Unique time zone (+30 mins). Distinct local culture.
1753,Canada,753,ON,Eastern Ontario,,,,Future overlay for Ottawa area.
1778,Canada,778,BC,British Columbia,,,,Ubiquitous mobile code across BC.
1780,Canada,780,AB,Northern Alberta,Edmonton,,," Oil Sands. The ""Gretzky Era"" code."
1782,Canada,782,NS/PE,Nova Scotia & PEI,,,,Newer overlay for the Maritimes.
1807,Canada,807,ON,Northwest Ontario,,,,Thunder Bay. Culturally closer to Winnipeg than Toronto.
1819,Canada,819,QC,Western Quebec,Gatineau, Hull, Tremblant,
1825,Canada,825,AB,Alberta,,,,Newest Alberta overlay.
1867,Canada,867,Territories,Yukon, Nunavut,,,"The ""Arctic"" code. Covers 40% of Canada's land mass."
1873,Canada,873,QC,Western Quebec,,,,Newer overlay for 819.
1902,Canada,902,NS/PE,Nova Scotia & PEI,Halifax,,, Charlottetown. Trailer Park Boys setting.
1905,Canada,905,ON,GTA (Suburbs),Mississauga,,," Brampton. ""The 905"" refers to the suburban commuter ring."